"id","product_name","brand","model","product_type","quantity","created_at","updated_at","code","description","image_url"
"1","Access Point U6 Long-Range","UNIFI","U6-LR","Access Point","0","2024-09-25 11:41:18","2024-10-05 12:22:52","610762569327","Ceiling-mounted WiFi 6 AP with 8 spatial streams and extended signal range.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Fd8fee47d-b53e-4a86-a5cb-cf2f6ab1c5ef%2F4f1f5856-05c2-4989-970e-6751e6af7eb9.png&q=75&w=3840"
"2","Access Point U6 Mesh","UNIFI","U6-Mesh-EU","Access Point","0","2024-09-25 11:46:05","2024-10-01 15:34:38","Sleek, indoor/outdoor WiFi 6 AP with 6 spatial streams designed for mesh applications.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F7b8f8da5-d684-4170-be1f-71b53af8d7f9%2Ffdce5345-80e9-4edd-bf5b-93cf9141649e.png&q=75&w=3840"
"3","Access Point Mesh Pro","UNIFI","UAP-AC-M-PRO","Access Point","0","2024-09-25 11:47:50","2024-10-01 15:34:38","0","Indoor/outdoor WiFi 5 AP with 6 spatial streams and extended signal range for maximum coverage.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F061a3bec-9109-4b72-aeaa-e3ee095a8403%2Fdf143481-4b11-49b2-a21f-01634d1206ff.png&q=75&w=3840"
"4","Access Point U6 In-Wall","UNIFI","U6-IW","Access Point","0","2024-09-25 11:49:52","2024-10-01 15:34:38","0","Wall-mounted WiFi 6 AP with 6 spatial streams and a built-in 4-port switch ideal for single-room coverage in hospitality environments.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F9e487835-2aa9-4813-b210-732744a2884a%2Fcac2e05e-2e46-4d47-84b2-7e3bb7d7ca1a.png&q=75&w=3840"
"5","Access Point U7 Pro","UNIFI","U7-Pro","Access Point","0","2024-09-25 11:50:47","2024-10-01 15:34:38","0","Ceiling-mounted WiFi 7 AP with 6 spatial streams and 6 GHz support for interference-free WiFi in demanding, large-scale environments.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Ffa8dd4e4-36c8-4c79-a928-22c7bff2ce29%2Fab5bc8a4-6135-402e-a695-e3ea5e16d3e6.png&q=75&w=3840"
"6","Switch Pro Max 48 PoE (720w)","UNIFI","USW-Pro-Max-48-PoE-EU","Switch","0","2024-09-25 11:53:41","2024-10-01 15:34:38","0","A 48-port, Layer 3 Etherlighting™ switch with 2.5 GbE and PoE++ output.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F51e22689-9b81-4717-beed-fe2c65c57362%2F836c5725-38ba-4c75-a886-a7eea87db215.png&q=75&w=3840"
"7","Switch Pro Max 24 PoE (400w)","UNIFI","USW-Pro-Max-24-PoE-EU","Switch","0","2024-09-25 11:56:37","2024-10-01 15:34:38","0","A 24-port, Layer 3 Etherlighting™ switch capable of high-power PoE++ output.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F58922518-88f6-4c75-89c1-f57ba3d8253a%2Fc4541c43-13ef-4d4b-a558-cf912456f893.png&q=75&w=3840"
"8","Switch Pro 48 PoE (600w)","UNIFI","USW-Pro-48-POE-EU","Switch","0","2024-09-25 11:57:54","2024-10-01 15:34:38","0","A 48-port, Layer 3 switch capable of high-power PoE++ output.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F6e019f0c-26b5-4fdf-b4e1-994abd9ce6e1%2F87cd84da-2de6-4d1c-af8c-00c12b0a9ff6.png&q=75&w=3840"
"9","Switch Pro 24 PoE (400w)","UNIFI","USW-Pro-24-POE-EU","Switch","0","2024-09-25 12:00:33","2024-10-01 15:34:38","0","A 24-port, Layer 3 switch capable of high-power PoE++ output.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F5b69cdb5-e7ea-44e6-ae16-8714339038fb%2F8f85af7b-7d44-4a3d-89e4-6e0c8fae35c1.png&q=75&w=3840"
"10","Switch Enterprise 24 PoE (400w)","UNIFI","USW-Enterprise-24-PoE-EU","Switch","0","2024-09-25 12:03:24","2024-10-01 15:34:38","0","A 24-port, Layer 3 switch with 2.5 GbE PoE+ output.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F9f693a84-9dcb-452f-889a-faba29ac4b73%2F2bd5bc9b-9653-4b11-830f-535bf44cd596.png&q=75&w=3840"
